k1,k2,k3,k4,k5,k6,o1,o2,o3,o4,o5,o6,o7,o8,o9,o10,o11,o12,o13,o14,o15,o16,o17,o18,o19,o20,o21,o22,o23,o24,o25,o26,o27
0.2,0.2,0.2,0.6,0.8,0.6,0.176698,185.892,20.9712,0.0880564,20.3244,1.05894,5.80296,336307,4584.77,0.249292,4531.98,10.422,227.575,30.8072,-0.136088,50.1431,1.79754,34873.6,167.547,33884.4,1741.37,16.945,3894.1,202.219,11.1155,0.689347,197.089
0.2,0.2,0.2,0.6,0.8,0.8,0.183898,185.902,20.964,0.0856564,20.3254,1.05794,9.76391,336366,4578.69,0.226059,4533.04,10.4274,254.243,31.8662,-0.119703,55.6028,1.81499,34852.7,157.306,33885.3,1746.44,16.1485,3888.58,202.26,11.1556,0.676423,196.555
0.2,0.2,0.2,0.6,0.8,1,0.116298,185.84,21.0316,0.0858564,20.3304,1.05294,3.74951,336173,4606.29,0.226035,4535.3,10.3662,150.669,21.0718,-0.102396,43.3673,1.15627,34940.3,158.951,33879,1740.46,15.7914,3901.35,202.39,11.7502,0.65936,195.453
0.2,0.2,0.2,0.6,1,0.2,0.194898,185.907,20.953,0.0808564,20.3142,1.06914,5.92485,336359,4571.48,0.223714,4528.28,10.6406,263.148,37.3913,-0.121418,52.778,1.96496,34843.9,154.269,33863.9,1763.92,14.9946,3888.66,204.853,9.94411,0.642903,198.829
0.2,0.2,0.2,0.6,1,0.4,0.213098,185.925,20.9348,0.0874564,20.3204,1.06294,9.33788,336369,4568.66,0.253718,4531.68,10.5117,269.945,37.09,-0.138887,64.4113,2.16929,34840.6,166.429,33887.7,1752.32,16.0682,3878.46,203.216,11.3423,0.676325,197.19
0.2,0.2,0.2,0.6,1,0.6,0.189898,185.904,20.958,0.0870564,20.3226,1.06074,8.00692,336344,4581.7,0.242068,4530.99,10.4836,251.252,31.2369,-0.130802,63.2427,1.87126,34852.5,162.359,33888,1750.58,15.9287,3879.96,203.185,10.9857,0.667682,197.553
0.2,0.2,0.2,0.6,1,0.8,0.159298,185.864,20.9886,0.0826564,20.3082,1.07514,5.5948,336265,4593.73,0.227951,4526.19,10.7954,224.247,26.4298,-0.123774,59.082,1.60971,34869.6,159.586,33865.6,1766.44,14.853,3880.38,207.188,10.5858,0.648501,199.798
0.2,0.2,0.2,0.6,1,1,0.125698,185.837,21.0222,0.0864564,20.319,1.06434,3.97717,336135,4603.82,0.250308,4530.38,10.5741,148.581,22.1908,-0.0953029,35.7642,1.25193,34941.6,165.825,33859.7,1750.15,16.0117,3907.03,204.214,11.2861,0.663807,197.81
0.2,0.2,0.2,0.8,0.2,0.2,0.348298,186.064,20.7996,0.0392564,20.2764,1.10694,11.4796,336832,4508.76,0.11676,4517.73,11.2962,500.096,65.972,-0.168749,101.124,3.48692,34642.4,79.7735,33840.7,1837.78,7.28081,3833.9,209.746,3.86518,0.302597,203.777
0.2,0.2,0.2,0.8,0.2,0.4,0.329698,186.055,20.8182,0.0454564,20.2924,1.09094,15.4126,336790,4503.99,0.128126,4521,11.0044,463.086,66.3885,-0.161334,89.613,3.27649,34686,92.353,33860.5,1807.18,7.99977,3848.37,207.002,4.71588,0.341194,202.286
0.2,0.2,0.2,0.8,0.2,0.6,0.422498,186.148,20.7254,0.0490564,20.296,1.08734,22.202,336963,4480.82,0.135993,4525.39,10.9102,552.768,74.5804,-0.19035,112.279,4.25153,34611.2,100.345,33893.1,1799.88,8.67998,3826.3,205.432,5.25983,0.384397,200.136
0.2,0.2,0.2,0.8,0.2,0.8,0.421698,186.151,20.7262,0.0386564,20.2888,1.09454,18.6161,337058,4480.63,0.116321,4522.25,11.099,591.267,76.4683,-0.200196,126.014,4.26939,34571.5,79.0203,33892.8,1814.01,6.70009,3810.99,206.982,3.62188,0.289279,201.614
0.2,0.2,0.2,0.8,0.2,1,0.370498,186.097,20.7774,0.0396564,20.2876,1.09574,16.5372,336868,4508.33,0.124124,4520.88,11.0644,501.048,63.6573,-0.168409,104.206,3.71837,34646.2,79.2722,33864.8,1818.88,7.13844,3832.73,207.609,3.67084,0.299083,202.317
