param1,param2,param3,output1,output2
0.03,0.025,0.06,9819.0,0.0
0.03,0.025,0.06,10350.0,0.0
0.03,0.025,0.06,10089.0,0.0
0.03,0.025,0.06,10031.0,0.0
0.03,0.025,0.06,10229.0,0.0
0.03,0.025,0.06,10549.0,0.0
0.03,0.025,0.06,10485.0,0.0
0.03,0.025,0.06,10631.0,0.0
0.03,0.025,0.06,10398.0,0.0
0.03,0.025,0.06,10003.0,0.0
0.03,0.025,0.06,10601.0,0.0
0.03,0.025,0.06,10161.0,0.0
0.03,0.025,0.06,10283.0,0.0
0.03,0.025,0.06,10193.0,0.0
0.03,0.025,0.06,10069.0,0.0
0.03,0.025,0.06,10508.0,0.0
0.03,0.025,0.06,10550.0,0.0
0.03,0.025,0.06,9808.0,0.0
0.03,0.025,0.06,9656.0,0.0
0.03,0.025,0.06,10636.0,0.0
0.03,0.025,0.06,10270.0,0.0
0.03,0.025,0.06,10573.0,0.0
0.03,0.025,0.06,10128.0,0.0
0.03,0.025,0.06,10492.0,0.0
0.03,0.03,0.03,2775.0,1660.0
0.03,0.03,0.03,3342.0,1703.0
0.03,0.03,0.03,1832.0,1736.0
0.03,0.03,0.03,1362.0,1585.0
0.03,0.03,0.03,1474.0,1725.0
0.03,0.03,0.03,861.0,1409.0
0.03,0.03,0.03,3413.0,1894.0
0.03,0.03,0.03,1665.0,1616.0
0.03,0.03,0.03,2837.0,1732.0
0.03,0.03,0.03,2676.0,1740.0
0.03,0.03,0.03,1431.0,1696.0
0.03,0.03,0.03,2406.0,1618.0
0.03,0.03,0.03,1688.0,1842.0
0.03,0.03,0.03,2318.0,1770.0
0.03,0.03,0.03,4220.0,1900.0
0.03,0.03,0.03,1332.0,1391.0
0.03,0.03,0.03,1708.0,1795.0
0.03,0.03,0.03,3368.0,1696.0
0.03,0.03,0.03,2222.0,1527.0
0.03,0.03,0.03,3670.0,1734.0
0.03,0.03,0.03,2234.0,1684.0
0.03,0.03,0.03,3686.0,1819.0
0.03,0.03,0.03,9492.0,0.0
0.03,0.03,0.03,1286.0,1761.0
0.03,0.03,0.03,961.0,1774.0
0.03,0.03,0.03,3567.0,1766.0
0.03,0.03,0.03,3098.0,1815.0
0.03,0.03,0.03,8173.0,0.0
0.03,0.03,0.03,1901.0,1615.0
0.03,0.03,0.03,1357.0,1704.0
0.03,0.03,0.035,8891.0,0.0
0.03,0.03,0.035,8724.0,0.0
0.03,0.03,0.035,8538.0,2.0
0.03,0.03,0.035,3895.0,1460.0
0.03,0.03,0.035,2055.0,1641.0
0.03,0.03,0.035,2669.0,1471.0
0.03,0.03,0.035,2347.0,1548.0
0.03,0.03,0.035,7682.0,1.0
0.03,0.03,0.035,2540.0,1415.0
0.03,0.03,0.035,4048.0,1778.0
0.03,0.03,0.035,4157.0,1504.0
0.03,0.03,0.035,6950.0,29.0
0.03,0.03,0.035,2229.0,1678.0
0.03,0.03,0.035,5270.0,1835.0
0.03,0.03,0.035,8745.0,0.0
0.03,0.03,0.035,8701.0,0.0
0.03,0.03,0.035,3802.0,1776.0
0.03,0.03,0.035,8100.0,0.0
0.03,0.03,0.035,3789.0,1549.0
0.03,0.03,0.035,3301.0,1491.0
0.03,0.03,0.035,8006.0,0.0
0.03,0.03,0.035,7782.0,0.0
0.03,0.03,0.035,8890.0,0.0
0.03,0.03,0.035,2649.0,1547.0
0.03,0.03,0.035,8579.0,2.0
0.03,0.03,0.035,3033.0,1507.0
0.03,0.03,0.035,3375.0,1833.0
0.03,0.03,0.035,9627.0,0.0
0.03,0.03,0.035,3676.0,1859.0
0.03,0.03,0.035,9576.0,0.0
0.03,0.03,0.04,9542.0,0.0
0.03,0.03,0.04,8977.0,0.0
0.03,0.03,0.04,9312.0,0.0
0.03,0.03,0.04,8732.0,1.0
0.03,0.03,0.04,8747.0,0.0
0.03,0.03,0.04,10003.0,0.0
0.03,0.03,0.04,8639.0,0.0
0.03,0.03,0.04,9339.0,0.0
0.03,0.03,0.04,8853.0,0.0
0.03,0.03,0.04,8948.0,0.0
0.03,0.03,0.04,8205.0,0.0
