k1,k2,k3,k4,o1,o2,o3
0.035,0.06,0.04,0.1,9745.733333,0.133333333,8.4
0.035,0.06,0.04,0.3,9764,0,7.266666667
0.035,0.06,0.045,0.03,10102.06667,0,5.966666667
0.035,0.06,0.045,0.1,9985.8,0,6.7
0.035,0.06,0.045,0.3,10172.36667,0,5.066666667
0.035,0.06,0.05,0.03,10300.96667,0,5.2
0.035,0.06,0.05,0.1,10268.93333,0,5.766666667
0.035,0.06,0.05,0.3,10301.4,0,5.533333333
0.035,0.06,0.055,0.03,10431.9,0,4.666666667
0.035,0.06,0.055,0.1,10407.6,0,5.3
0.035,0.06,0.055,0.3,10470.66667,0,5.133333333
0.035,0.06,0.06,0.03,10513.03333,0,4.633333333
0.035,0.06,0.06,0.1,10566.56667,0,4.766666667
0.035,0.06,0.06,0.3,10531.9,0,4.933333333
0.04,0.02,0.03,0.03,465.4333333,2043.2,223.0666667
0.04,0.02,0.03,0.1,516.1333333,1793.833333,357.3333333
0.04,0.02,0.03,0.3,680.8666667,1182.566667,578.6333333
0.04,0.02,0.035,0.03,968.9333333,2175.8,287.4666667
0.04,0.02,0.035,0.1,865.5,1894.866667,409.1666667
0.04,0.02,0.035,0.3,1199.3,1358.766667,664.3666667
0.04,0.02,0.04,0.03,1434.7,2207.9,356.8333333
0.04,0.02,0.04,0.1,1754.9,1935.833333,492.2
0.04,0.02,0.04,0.3,1740.133333,1428,729.2333333
0.04,0.02,0.045,0.03,2559.766667,2089.166667,413.3
0.04,0.02,0.045,0.1,3030.6,1767.8,493.8
0.04,0.02,0.045,0.3,2968.4,1448.233333,761.7333333
0.04,0.02,0.05,0.03,4946.633333,1488.066667,343.8
0.04,0.02,0.05,0.1,5243.733333,1315.5,412.3
0.04,0.02,0.05,0.3,5706,831.4,505.3666667
0.04,0.02,0.055,0.03,6793.966667,846.1,247.9
0.04,0.02,0.055,0.1,7371.433333,561.8,215.3666667
0.04,0.02,0.055,0.3,7935.033333,245.3333333,168.4333333
0.04,0.02,0.06,0.03,8338.2,259.4,86.96666667
0.04,0.02,0.06,0.1,8850.8,111.2333333,63.7
0.04,0.02,0.06,0.3,9244.766667,35.2,31.13333333
0.04,0.025,0.03,0.03,602.0666667,2057.8,251.4666667
0.04,0.025,0.03,0.1,596.4333333,1707.333333,395.8
0.04,0.025,0.03,0.3,804.5333333,1101.266667,643.1
0.04,0.025,0.035,0.03,1005.9,2157.466667,307.9666667
0.04,0.025,0.035,0.1,1213.6,1863.833333,484.4333333
0.04,0.025,0.035,0.3,1473.333333,1314.1,754.2666667
0.04,0.025,0.04,0.03,1980.766667,2122.133333,409.9333333
0.04,0.025,0.04,0.1,1980.433333,1919.3,551.3666667
0.04,0.025,0.04,0.3,2654.7,1254.033333,785.0666667
0.04,0.025,0.045,0.03,3499.266667,1816.566667,428.0333333
0.04,0.025,0.045,0.1,4577.566667,1278.033333,408.4
0.04,0.025,0.045,0.3,5099.7,879.8,589.4666667
0.04,0.025,0.05,0.03,6410.833333,941.6666667,285.0666667
0.04,0.025,0.05,0.1,7102.233333,605.4666667,237.5
0.04,0.025,0.05,0.3,7646.633333,293.4,194.4666667
0.04,0.025,0.055,0.03,8962.433333,126.0333333,53.96666667
