k1,k2,k3,o1,o2
0.055,0.04,0.030166667,403.9,1180.033333
0.055,0.04,0.035166667,919.5666667,1344.866667
0.055,0.04,0.040166667,1556.6,1552.266667
0.055,0.04,0.045166667,2580.266667,1409.866667
0.055,0.04,0.050166667,5371.266667,869.5666667
0.055,0.04,0.055166667,7527.866667,384.0666667
0.055,0.040166667,0.059,8656.466667,47.3
0.055,0.045,0.030166667,388.9333333,1048.333333
0.055,0.045,0.035166667,1206.833333,1373.433333
0.055,0.045,0.040166667,2109.6,1384.433333
0.055,0.045,0.045166667,4396.766667,1000.966667
0.055,0.045,0.050166667,7492.1,303
0.055,0.045,0.055166667,8666.833333,58.23333333
0.055,0.045166667,0.059,9193.133333,40.63333333
0.055,0.05,0.030166667,670.8333333,1117
0.055,0.05,0.035166667,1259.633333,1339.533333
0.055,0.05,0.040166667,2729.066667,1313.733333
0.055,0.05,0.045166667,5122.8,864.9
0.055,0.05,0.050166667,8035.166667,213.4666667
0.055,0.05,0.055166667,8918.633333,52.56666667
0.055,0.050166667,0.059,9240.533333,39.06666667
0.055,0.055,0.030166667,845.4333333,1103.866667
0.055,0.055,0.035166667,2924.4,979.6333333
0.055,0.055,0.040166667,4171.7,1081.433333
0.055,0.055,0.045166667,6754.7,470.9
0.055,0.055,0.050166667,8711.066667,47.86666667
0.055,0.055,0.055166667,9337.733333,0.466666667
0.055,0.055166667,0.059,9409.433333,28.36666667
0.055,0.06,0.030166667,1253.966667,1167.9
0.055,0.06,0.035166667,1724.033333,1269.866667
0.055,0.06,0.040166667,4782.5,878.1666667
0.055,0.06,0.045166667,7462,271.5
0.055,0.06,0.050166667,8714.533333,95.6
0.055,0.06,0.055166667,9581.833333,0.066666667
0.055166667,0.058666667,0.059,9516.166667,35.23333333
0.06,0.02,0.030166667,98.7,1168.1
0.06,0.02,0.035166667,242.3,1408.533333
0.06,0.02,0.040166667,559.7,1613.8
0.06,0.02,0.045166667,757.3,1721
0.06,0.02,0.050166667,878.1666667,1784.1
0.06,0.02,0.055166667,1278.5,1848.333333
0.06,0.020166667,0.059,2381.7,1784.366667
0.06,0.025,0.030166667,135.4333333,1026.933333
0.06,0.025,0.035166667,319.0666667,1284.933333
0.06,0.025,0.040166667,399.3333333,1420.666667
0.06,0.025,0.045166667,759.6333333,1648.6
0.06,0.025,0.050166667,1189.066667,1730
0.06,0.025,0.055166667,2324.266667,1640.633333
0.06,0.025166667,0.059,2842.666667,1591.833333
0.06,0.03,0.030166667,254.4333333,1060.266667
0.06,0.03,0.035166667,470.1666667,1371.133333
0.06,0.03,0.040166667,605.1,1425.7
0.06,0.03,0.045166667,1177.766667,1598.5
0.06,0.03,0.050166667,1538.166667,1726.433333
0.06,0.03,0.055166667,3007.5,1514.133333
0.06,0.030166667,0.059,5017.566667,1020.3
0.06,0.035,0.030166667,235.5,912.9666667
0.06,0.035,0.035166667,535.4333333,1231.7
0.06,0.035,0.040166667,978.3666667,1536.2
0.06,0.035,0.045166667,1843.666667,1418.533333
0.06,0.035,0.050166667,2956.233333,1400.7
0.06,0.035,0.055166667,4091.633333,1281.433333
0.06,0.035166667,0.059,5786.833333,882.2333333
0.06,0.04,0.030166667,435.6,1075.066667
0.06,0.04,0.035166667,708.3333333,1232.6
0.06,0.04,0.040166667,974.4666667,1402.833333
0.06,0.04,0.045166667,2181.533333,1376.733333
0.06,0.04,0.050166667,3537.866667,1240.633333
0.06,0.04,0.055166667,6733.866667,480.2666667
0.06,0.040166667,0.059,7792.9,211.6
0.06,0.045,0.030166667,466,1022.933333
0.06,0.045,0.035166667,781.8666667,1321.366667
0.06,0.045,0.040166667,1313.5,1404.133333
0.06,0.045,0.045166667,3138.2,1229.3
0.06,0.045,0.050166667,5037.866667,901.9333333
0.06,0.045,0.055166667,7442.7,355.8666667
0.06,0.045166667,0.059,8456.066667,83.03333333
0.06,0.05,0.030166667,545.7333333,1026.833333
0.06,0.05,0.035166667,971.4,1218.166667
0.06,0.05,0.040166667,1780.566667,1380.933333
0.06,0.05,0.045166667,3351.833333,1188.333333
0.06,0.05,0.050166667,6148.9,661.6
0.06,0.05,0.055166667,8777.066667,61.6
0.06,0.050166667,0.059,8817.733333,97.93333333
0.06,0.055,0.030166667,519.2333333,963.9333333
0.06,0.055,0.035166667,1313.3,1297.633333
0.06,0.055,0.040166667,3257.566667,1140.966667
0.06,0.055,0.045166667,5458.533333,657.7
0.06,0.055,0.050166667,7715.2,378.3666667
0.06,0.055,0.055166667,8540.533333,151.7333333
0.06,0.055166667,0.059,9011.166667,13.7
0.06,0.06,0.030166667,747.2666667,1120.166667
0.06,0.06,0.035166667,1531,1210.8
0.06,0.06,0.040166667,4028.5,949.6
0.06,0.06,0.045166667,7109,218.0666667
0.06,0.06,0.050166667,8262.433333,192.4666667
0.06,0.06,0.055166667,9275.3,0
0.06,0.06,0.06,9586.862069,0
