k1,k2,o1
0.00594,0.46,926.4
0.06732,0.6,992.0
0.06732,0.62,995.6
0.06732,0.64,988.8
0.06732,0.66,992.2
0.06732,0.68,989.6
0.06732,0.7000000000000001,997.6
0.06732,0.72,1004.0
0.06732,0.74,1004.4
0.06732,0.76,983.6
0.06732,0.78,988.6
0.00594,0.48,928.2
0.06732,0.8,993.8
0.06732,0.8200000000000001,984.4
0.06732,0.84,994.2
0.06732,0.86,986.2
0.06732,0.88,976.8
0.06732,0.9,977.4
0.06732,0.92,979.2
0.06732,0.9400000000000001,1002.2
0.06732,0.96,991.8
0.06732,0.98,986.8
0.00594,0.5,926.8
0.0693,0.0,990.6
0.0693,0.02,1000.6
0.0693,0.04,1004.0
0.0693,0.06,987.8
0.0693,0.08,1005.6
0.0693,0.1,994.4
0.0693,0.12,991.2
0.0693,0.14,1001.0
0.0693,0.16,1016.8
0.0693,0.18,986.6
0.00594,0.52,925.2
0.0693,0.2,990.4
0.0693,0.22,984.0
0.0693,0.24,986.2
0.0693,0.26,1000.6
0.0693,0.28,967.4
0.0693,0.3,1004.6
0.0693,0.32,998.2
0.0693,0.34,976.4
0.0693,0.36,980.8
0.0693,0.38,988.8
0.00594,0.54,935.2
0.0693,0.4,994.6
0.0693,0.42,984.8
0.0693,0.44,996.8
0.0693,0.46,981.0
0.0693,0.48,986.4
0.0693,0.5,999.4
0.0693,0.52,992.2
0.0693,0.54,993.2
0.0693,0.56,975.8
0.0693,0.58,1011.8
0.00594,0.56,933.0
0.0693,0.6,979.4
0.0693,0.62,978.2
0.0693,0.64,992.4
0.0693,0.66,987.4
0.0693,0.68,1007.0
0.0693,0.7000000000000001,1004.4
0.0693,0.72,1002.8
0.0693,0.74,1010.4
0.0693,0.76,989.0
0.0693,0.78,1004.8
0.00594,0.58,926.4
0.0693,0.8,983.4
0.0693,0.8200000000000001,975.8
0.0693,0.84,1003.2
0.0693,0.86,1001.6
0.0693,0.88,997.6
0.0693,0.9,986.0
0.0693,0.92,986.4
0.0693,0.9400000000000001,959.6
0.0693,0.96,994.4
0.0693,0.98,1000.6
0.0,0.36,0.0
0.00594,0.6,917.0
0.07128,0.0,989.0
0.07128,0.02,981.2
0.07128,0.04,989.2
0.07128,0.06,991.4
0.07128,0.08,999.0
