kt,k1,k2,k3,k4,k5,o1,o2,o3,o4,o5,o6,o7,o8,o9
0.5,0.875576,0.705562,0.345808,0.453848,0.713604,9.9352,8.4202,8.481,72.7047,69.0842,125.764,44.4581,53.7229,64.3047
0.5,0.031257,0.109989,0.764398,0.221376,0.773338,5.6746,7.5602,13.6016,31.9439,63.8323,309.5,16.4012,34.5231,42.6995
0.5,0.65996,0.750689,0.25147,0.884582,0.626386,12.029,7.447,7.3604,107.048,59.1886,94.1926,51.3081,67.6197,47.1199
0.5,0.204095,0.422061,0.758402,0.281914,0.749947,6.965,7.6706,12.2008,39.7317,58.4542,252.244,26.4902,43.5645,50.9923
0.5,0.00777461,0.622778,0.573765,0.126903,0.351602,7.252,6.9032,12.6812,44.601,59.767,329.83,27.4881,27.6107,24.0646
0.5,0.693236,0.492443,0.402392,0.501786,0.166334,9.1734,10.3528,7.3102,65.37,106.11,116.494,48.9972,44.0676,59.2102
0.5,0.46587,0.0454364,0.417638,0.187192,0.15334,6.0134,11.3548,9.4682,38.7914,133.674,200.245,20.0369,22.8161,67.0539
0.5,0.81073,0.440213,0.517892,0.542237,0.977255,8.8912,8.669,9.2762,60.5359,71.5606,131.419,41.4985,53.3939,69.6119
0.5,0.182869,0.432307,0.117228,0.698518,0.874594,10.9724,5.5926,10.2714,92.4321,41.7962,176.131,26.5577,78.8031,35.7219
0.5,0.557623,0.381707,0.20531,0.217626,0.00537389,8.191,10.3954,8.25,56.2918,116.481,171.052,34.3531,29.5054,60.4912
0.5,0.856463,0.956721,0.186323,0.193438,0.778322,10.0914,7.164,9.581,76.4987,54.68,158.863,37.6753,47.9217,65.644
0.5,0.755574,0.9841,0.785821,0.898604,0.501285,10.9982,9.0018,6.8364,88.8968,73.1792,86.0668,61.7988,59.8503,50.5416
0.5,0.403359,0.507646,0.848999,0.899866,0.625027,9.3614,9.1244,8.3506,69.8864,75.7697,116.855,47.8864,63.3244,53.7959
0.5,0.909238,0.144172,0.772447,0.933708,0.674565,8.2332,11.493,7.1102,58.5353,117.552,81.7372,51.7128,47.4986,68.1383
0.5,0.226662,0.581979,0.983483,0.172512,0.66104,6.4098,7.9464,12.4802,33.499,59.241,273.043,27.4831,32.961,52.9263
0.5,0.808061,0.533475,0.643915,0.0191618,0.0813583,6.8032,11.6564,8.3768,40.2737,125.223,165.158,36.6461,14.6281,79.6606
0.5,0.0147473,0.11721,0.769117,0.486073,0.467707,6.8986,8.6984,11.2394,42.9029,85.1857,230.914,22.1849,55.661,38.9148
0.5,0.74908,0.109585,0.621879,0.353729,0.865712,6.5342,10.1232,10.179,38.7778,95.1907,163.451,28.1586,34.1558,85.2378
